"province_th","district_th"
"กรุงเทพมหานคร","สวนหลวง"
"กรุงเทพมหานคร","สะพานสูง"
"กรุงเทพมหานคร","สัมพันธวงศ์"
"กรุงเทพมหานคร","สาทร"
"กรุงเทพมหานคร","สายไหม"
"กรุงเทพมหานคร","หนองแขม"
"กรุงเทพมหานคร","หนองจอก"
"กรุงเทพมหานคร","หลักสี่"
"กรุงเทพมหานคร","ห้วยขวาง"
"กาญจนบุรี","เมืองกาญจนบุรี"
"กาญจนบุรี","เลาขวัญ"
"กาญจนบุรี","ไทรโยค"
"กาญจนบุรี","ด่านมะขามเตี้ย"
"กาญจนบุรี","ทองผาภูมิ"
"กาญจนบุรี","ท่าม่วง"
"กาญจนบุรี","ท่ามะกา"
"กาญจนบุรี","บ่อพลอย"
"กาญจนบุรี","พนมทวน"
"กาญจนบุรี","ศรีสวัสดิ์"
"กาญจนบุรี","สังขละบุรี"
"กาญจนบุรี","หนองปรือ"
"กาญจนบุรี","ห้วยกระเจา"
"กาฬสินธุ์","เขาวง"
"กาฬสินธุ์","เมืองกาฬสินธุ์"
"กาฬสินธุ์","กมลาไสย"
"กาฬสินธุ์","กุฉินารายณ์"
"กาฬสินธุ์","คำม่วง"
"กาฬสินธุ์","ฆ้องชัย"
"กาฬสินธุ์","ดอนจาน"
"กาฬสินธุ์","ท่าคันโท"
"กาฬสินธุ์","นาคู"
"กาฬสินธุ์","นามน"
"กาฬสินธุ์","ยางตลาด"
"กาฬสินธุ์","ร่องคำ"
"กาฬสินธุ์","สมเด็จ"
"กาฬสินธุ์","สหัสขันธ์"
"กาฬสินธุ์","สามชัย"
"กาฬสินธุ์","หนองกุงศรี"
"กาฬสินธุ์","ห้วยเม็ก"
"กาฬสินธุ์","ห้วยผึ้ง"
"กำแพงเพชร","เมืองกำแพงเพชร"
"กำแพงเพชร","โกสัมพีนคร"
"กำแพงเพชร","ไทรงาม"
"กำแพงเพชร","ขาณุวรลักษบุรี"
"กำแพงเพชร","คลองขลุง"
"กำแพงเพชร","คลองลาน"
"กำแพงเพชร","ทรายทองวัฒนา"
"กำแพงเพชร","บึงสามัคคี"
"กำแพงเพชร","ปางศิลาทอง"
"กำแพงเพชร","พรานกระต่าย"
"กำแพงเพชร","ลานกระบือ"
"ขอนแก่น","เขาสวนกวาง"
"ขอนแก่น","เปือยน้อย"
"ขอนแก่น","เมืองขอนแก่น"
"ขอนแก่น","เวียงเก่า"
"ขอนแก่น","แวงใหญ่"
"ขอนแก่น","แวงน้อย"
"ขอนแก่น","โคกโพธิ์ไชย"
"ขอนแก่น","โนนศิลา"
"ขอนแก่น","กระนวน"
"ขอนแก่น","ชนบท"
"ขอนแก่น","ชุมแพ"
"ขอนแก่น","ซำสูง"
"ขอนแก่น","น้ำพอง"
"ขอนแก่น","บ้านแฮด"
"ขอนแก่น","บ้านไผ่"
"ขอนแก่น","บ้านฝาง"
"ขอนแก่น","พระยืน"
"ขอนแก่น","พล"
"ขอนแก่น","ภูเวียง"
"ขอนแก่น","ภูผาม่าน"
"ขอนแก่น","มัญจาคีรี"
"ขอนแก่น","สีชมพู"
"ขอนแก่น","หนองเรือ"
"ขอนแก่น","หนองนาคำ"
"ขอนแก่น","หนองสองห้อง"
"ขอนแก่น","อุบลรัตน์"
"จันทบุรี","เขาคิชฌกูฏ"
"จันทบุรี","เมืองจันทบุรี"
"จันทบุรี","แก่งหางแมว"
"จันทบุรี","แหลมสิงห์"
"จันทบุรี","โป่งน้ำร้อน"
"จันทบุรี","ขลุง"
"จันทบุรี","ท่าใหม่"
"จันทบุรี","นายายอาม"
"จันทบุรี","มะขาม"
"จันทบุรี","สอยดาว"
"ฉะเชิงเทรา","เมืองฉะเชิงเทรา"
"ฉะเชิงเทรา","แปลงยาว"
"ฉะเชิงเทรา","คลองเขื่อน"
"ฉะเชิงเทรา","ท่าตะเกียบ"
"ฉะเชิงเทรา","บางคล้า"
"ฉะเชิงเทรา","บางน้ำเปรี้ยว"
"ฉะเชิงเทรา","บางปะกง"
"ฉะเชิงเทรา","บ้านโพธิ์"
"ฉะเชิงเทรา","พนมสารคาม"
"ฉะเชิงเทรา","ราชสาส์น"
"ฉะเชิงเทรา","สนามชัยเขต"
"ชลบุรี","เกาะจันทร์"
"ชลบุรี","เกาะสีชัง"
"ชลบุรี","เมืองชลบุรี"
"ชลบุรี","บ่อทอง"
"ชลบุรี","บางละมุง"
"ชลบุรี","บ้านบึง"
"ชลบุรี","พนัสนิคม"
"ชลบุรี","พานทอง"
"ชลบุรี","ศรีราชา"
"ชลบุรี","สัตหีบ"
"ชลบุรี","หนองใหญ่"
"ชัยนาท","เนินขาม"
"ชัยนาท","เมืองชัยนาท"
"ชัยนาท","มโนรมย์"
"ชัยนาท","วัดสิงห์"
"ชัยนาท","สรรคบุรี"
"ชัยนาท","สรรพยา"
"ชัยนาท","หนองมะโมง"
"ชัยนาท","หันคา"
"ชัยภูมิ","เกษตรสมบูรณ์"
"ชัยภูมิ","เทพสถิต"
"ชัยภูมิ","เนินสง่า"
"ชัยภูมิ","เมืองชัยภูมิ"
"ชัยภูมิ","แก้งคร้อ"
"ชัยภูมิ","คอนสวรรค์"
"ชัยภูมิ","คอนสาร"
"ชัยภูมิ","จัตุรัส"
"ชัยภูมิ","ซับใหญ่"
"ชัยภูมิ","บ้านเขว้า"
"ชัยภูมิ","บ้านแท่น"
"ชัยภูมิ","บำเหน็จณรงค์"
"ชัยภูมิ","ภักดีชุมพล"
"ชัยภูมิ","ภูเขียว"
"ชัยภูมิ","หนองบัวแดง"
"ชัยภูมิ","หนองบัวระเหว"
"ชุมพร","เมืองชุมพร"
"ชุมพร","ท่าแซะ"
"ชุมพร","ทุ่งตะโก"
"ชุมพร","ปะทิว"
"ชุมพร","พะโต๊ะ"
"ชุมพร","ละแม"
"ชุมพร","สวี"
"ชุมพร","หลังสวน"
"ตรัง","เมืองตรัง"
"ตรัง","กันตัง"
"ตรัง","นาโยง"
"ตรัง","ปะเหลียน"
"ตรัง","ย่านตาขาว"
"ตรัง","รัษฎา"
"ตรัง","วังวิเศษ"
"ตรัง","สิเกา"
"ตรัง","ห้วยยอด"
"ตรัง","หาดสำราญ"
"ตราด","เกาะกูด"
"ตราด","เกาะช้าง"
"ตราด","เขาสมิง"
"ตราด","เมืองตราด"
"ตราด","แหลมงอบ"
"ตราด","คลองใหญ่"
"ตราด","บ่อไร่"
"ตาก","เมืองตาก"
"ตาก","แม่ระมาด"
"ตาก","แม่สอด"
"ตาก","ท่าสองยาง"
"ตาก","บ้านตาก"
"ตาก","พบพระ"
"ตาก","วังเจ้า"
"ตาก","สามเงา"
"ตาก","อุ้มผาง"
"นครนายก","เมืองนครนายก"
"นครนายก","บ้านนา"
"นครนายก","ปากพลี"
"นครนายก","องครักษ์"
"นครปฐม","เมืองนครปฐม"
"นครปฐม","กำแพงแสน"
"นครปฐม","ดอนตูม"
"นครปฐม","นครชัยศรี"
"นครปฐม","บางเลน"
"นครปฐม","พุทธมณฑล"
"นครปฐม","สามพราน"
"นครพนม","เมืองนครพนม"
"นครพนม","เรณูนคร"
"นครพนม","โพนสวรรค์"
"นครพนม","ท่าอุเทน"
"นครพนม","ธาตุพนม"
"นครพนม","นาแก"
"นครพนม","นาทม"
"นครพนม","นาหว้า"
"นครพนม","บ้านแพง"
"นครพนม","ปลาปาก"
"นครพนม","วังยาง"
"นครพนม","ศรีสงคราม"
"นครราชสีมา","เฉลิมพระเกียรติ"
"นครราชสีมา","เทพารักษ์"
"นครราชสีมา","เมืองนครราชสีมา"
"นครราชสีมา","เมืองยาง"
"นครราชสีมา","เสิงสาง"
"นครราชสีมา","แก้งสนามนาง"
"นครราชสีมา","โชคชัย"
"นครราชสีมา","โนนแดง"
"นครราชสีมา","โนนไทย"
"นครราชสีมา","โนนสูง"
"นครราชสีมา","ขามทะเลสอ"
"นครราชสีมา","ขามสะแกแสง"
"นครราชสีมา","คง"
"นครราชสีมา","ครบุรี"
"นครราชสีมา","จักราช"
"นครราชสีมา","ชุมพวง"
"นครราชสีมา","ด่านขุนทด"
"นครราชสีมา","บัวใหญ่"
"นครราชสีมา","บัวลาย"
"นครราชสีมา","บ้านเหลื่อม"
"นครราชสีมา","ประทาย"
"นครราชสีมา","ปักธงชัย"
"นครราชสีมา","ปากช่อง"
"นครราชสีมา","พระทองคำ"
"นครราชสีมา","พิมาย"
"นครราชสีมา","ลำทะเมนชัย"
"นครราชสีมา","วังน้ำเขียว"
"นครราชสีมา","สีคิ้ว"
"นครราชสีมา","สีดา"
"นครราชสีมา","สูงเนิน"
"นครราชสีมา","หนองบุญมาก"
"นครราชสีมา","ห้วยแถลง"
"นครศรีธรรมราช","เฉลิมพระเกียรติ"
"นครศรีธรรมราช","เชียรใหญ่"
"นครศรีธรรมราช","เมืองนครศรีธรรมราช"
"นครศรีธรรมราช","ขนอม"
"นครศรีธรรมราช","จุฬาภรณ์"
"นครศรีธรรมราช","ฉวาง"
"นครศรีธรรมราช","ชะอวด"
"นครศรีธรรมราช","ช้างกลาง"
"นครศรีธรรมราช","ถ้ำพรรณรา"
"นครศรีธรรมราช","ท่าศาลา"
"นครศรีธรรมราช","ทุ่งใหญ่"
"นครศรีธรรมราช","ทุ่งสง"
"นครศรีธรรมราช","นบพิตำ"
"นครศรีธรรมราช","นาบอน"
"นครศรีธรรมราช","บางขัน"
"นครศรีธรรมราช","ปากพนัง"
"นครศรีธรรมราช","พรหมคีรี"
"นครศรีธรรมราช","พระพรหม"
"นครศรีธรรมราช","พิปูน"
"นครศรีธรรมราช","ร่อนพิบูลย์"
"นครศรีธรรมราช","ลานสกา"
"นครศรีธรรมราช","สิชล"
"นครศรีธรรมราช","หัวไทร"
"นครสวรรค์","เก้าเลี้ยว"
"นครสวรรค์","เมืองนครสวรรค์"
"นครสวรรค์","แม่เปิน"
"นครสวรรค์","แม่วงก์"
"นครสวรรค์","โกรกพระ"
"นครสวรรค์","ไพศาลี"
"นครสวรรค์","ชุมแสง"
"นครสวรรค์","ชุมตาบง"
"นครสวรรค์","ตากฟ้า"
"นครสวรรค์","ตาคลี"
"นครสวรรค์","ท่าตะโก"
"นครสวรรค์","บรรพตพิสัย"
"นครสวรรค์","พยุหะคีรี"
"นครสวรรค์","ลาดยาว"
"นครสวรรค์","หนองบัว"
"นนทบุรี","เมืองนนทบุรี"
"นนทบุรี","ไทรน้อย"
"นนทบุรี","บางใหญ่"
"นนทบุรี","บางกรวย"
"นนทบุรี","บางบัวทอง"
"นนทบุรี","ปากเกร็ด"
"นราธิวาส","เจาะไอร้อง"
"นราธิวาส","เมืองนราธิวาส"
"นราธิวาส","แว้ง"
"นราธิวาส","จะแนะ"
"นราธิวาส","ตากใบ"
"นราธิวาส","บาเจาะ"
"นราธิวาส","ยี่งอ"
"นราธิวาส","ระแงะ"
"นราธิวาส","รือเสาะ"
"นราธิวาส","ศรีสาคร"
"นราธิวาส","สุไหงโก-ลก"
"นราธิวาส","สุไหงปาดี"
"นราธิวาส","สุคิริน"
"น่าน","เฉลิมพระเกียรติ"
"น่าน","เชียงกลาง"
"น่าน","เมืองน่าน"
"น่าน","เวียงสา"
"น่าน","แม่จริม"
"น่าน","ท่าวังผา"
"น่าน","ทุ่งช้าง"
"น่าน","นาน้อย"
"น่าน","นาหมื่น"
"น่าน","บ่อเกลือ"
"น่าน","บ้านหลวง"
"น่าน","ปัว"
"น่าน","ภูเพียง"
"น่าน","สองแคว"
"น่าน","สันติสุข"
"บึงกาฬ","เซกา"
"บึงกาฬ","เมืองบึงกาฬ"
"บึงกาฬ","โซ่พิสัย"
"บึงกาฬ","บึงโขงหลง"
"บึงกาฬ","บุ่งคล้า"
"บึงกาฬ","ปากคาด"
"บึงกาฬ","พรเจริญ"
"บึงกาฬ","ศรีวิไล"
"บุรีรัมย์","เฉลิมพระเกียรติ"
"บุรีรัมย์","เมืองบุรีรัมย์"
"บุรีรัมย์","แคนดง"
"บุรีรัมย์","โนนดินแดง"
"บุรีรัมย์","โนนสุวรรณ"
"บุรีรัมย์","กระสัง"
"บุรีรัมย์","คูเมือง"
"บุรีรัมย์","ชำนิ"
"บุรีรัมย์","นาโพธิ์"
"บุรีรัมย์","นางรอง"
"บุรีรัมย์","บ้านใหม่ไชยพจน์"
"บุรีรัมย์","บ้านกรวด"
"บุรีรัมย์","บ้านด่าน"
"บุรีรัมย์","ประโคนชัย"
"บุรีรัมย์","ปะคำ"
"บุรีรัมย์","พลับพลาชัย"
"บุรีรัมย์","พุทไธสง"
"บุรีรัมย์","ละหานทราย"
"บุรีรัมย์","ลำปลายมาศ"
"บุรีรัมย์","สตึก"
"บุรีรัมย์","หนองกี่"
"บุรีรัมย์","หนองหงส์"
"บุรีรัมย์","ห้วยราช"
"ปทุมธานี","เมืองปทุมธานี"
"ปทุมธานี","คลองหลวง"
"ปทุมธานี","ธัญบุรี"
"ปทุมธานี","ลาดหลุมแก้ว"
"ปทุมธานี","ลำลูกกา"
"ปทุมธานี","สามโคก"
"ปทุมธานี","หนองเสือ"
"ประจวบคีรีขันธ์","เมืองประจวบคีรีขันธ์"
"ประจวบคีรีขันธ์","กุยบุรี"
"ประจวบคีรีขันธ์","ทับสะแก"
"ประจวบคีรีขันธ์","บางสะพาน"
"ประจวบคีรีขันธ์","บางสะพานน้อย"
"ประจวบคีรีขันธ์","ปราณบุรี"
"ประจวบคีรีขันธ์","สามร้อยยอด"
"ประจวบคีรีขันธ์","หัวหิน"
"ปราจีนบุรี","เมืองปราจีนบุรี"
"ปราจีนบุรี","กบินทร์บุรี"
"ปราจีนบุรี","นาดี"
"ปราจีนบุรี","บ้านสร้าง"
"ปราจีนบุรี","ประจันตคาม"
"ปราจีนบุรี","ศรีมโหสถ"
"ปราจีนบุรี","ศรีมหาโพธิ"
"ปัตตานี","เมืองปัตตานี"
"ปัตตานี","แม่ลาน"
"ปัตตานี","โคกโพธิ์"
"ปัตตานี","ไม้แก่น"
"ปัตตานี","กะพ้อ"
"ปัตตานี","ทุ่งยางแดง"
"ปัตตานี","ปะนาเระ"
"ปัตตานี","มายอ"
"ปัตตานี","ยะรัง"
"ปัตตานี","ยะหริ่ง"
"ปัตตานี","สายบุรี"
"ปัตตานี","หนองจิก"
"พระนครศรีอยุธยา","เสนา"
"พระนครศรีอยุธยา","ท่าเรือ"
"พระนครศรีอยุธยา","นครหลวง"
"พระนครศรีอยุธยา","บางไทร"
"พระนครศรีอยุธยา","บางซ้าย"
"พระนครศรีอยุธยา","บางบาล"
"พระนครศรีอยุธยา","บางปะหัน"
"พระนครศรีอยุธยา","บางปะอิน"
"พระนครศรีอยุธยา","บ้านแพรก"
"พระนครศรีอยุธยา","ผักไห่"
"พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"พระนครศรีอยุธยา","ภาชี"
"พระนครศรีอยุธยา","มหาราช"
"พระนครศรีอยุธยา","ลาดบัวหลวง"
"พระนครศรีอยุธยา","วังน้อย"
"พระนครศรีอยุธยา","อุทัย"
"พะเยา","เชียงคำ"
"พะเยา","เชียงม่วน"
"พะเยา","เมืองพะเยา"
"พะเยา","แม่ใจ"
"พะเยา","จุน"
"พะเยา","ดอกคำใต้"
"พะเยา","ปง"
"พะเยา","ภูกามยาว"
"พะเยา","ภูซาง"
"พังงา","เกาะยาว"
"พังงา","เมืองพังงา"
"พังงา","กะปง"
"พังงา","คุระบุรี"
"พังงา","ตะกั่วทุ่ง"
"พังงา","ตะกั่วป่า"
"พังงา","ทับปุด"
"พังงา","ท้ายเหมือง"
"พัทลุง","เขาชัยสน"
"พัทลุง","เมืองพัทลุง"
"พัทลุง","กงหรา"
"พัทลุง","ควนขนุน"
"พัทลุง","ตะโหมด"
"พัทลุง","บางแก้ว"
"พัทลุง","ปากพะยูน"
"พัทลุง","ป่าบอน"
"พัทลุง","ป่าพะยอม"
"พัทลุง","ศรีนครินทร์"
"พัทลุง","ศรีบรรพต"
"พิจิตร","เมืองพิจิตร"
"พิจิตร","โพทะเล"
"พิจิตร","โพธิ์ประทับช้าง"
"พิจิตร","ดงเจริญ"
"พิจิตร","ตะพานหิน"
"พิจิตร","ทับคล้อ"
"พิจิตร","บางมูลนาก"
"พิจิตร","บึงนาราง"
"พิจิตร","วชิรบารมี"
"พิจิตร","วังทรายพูน"
"พิจิตร","สากเหล็ก"
"พิจิตร","สามง่าม"
"พิษณุโลก","เนินมะปราง"
"พิษณุโลก","เมืองพิษณุโลก"
"พิษณุโลก","ชาติตระการ"
"พิษณุโลก","นครไทย"
"พิษณุโลก","บางกระทุ่ม"
"พิษณุโลก","บางระกำ"
"พิษณุโลก","พรหมพิราม"
"พิษณุโลก","วังทอง"
"พิษณุโลก","วัดโบสถ์"
"ภูเก็ต","เมืองภูเก็ต"
"ภูเก็ต","กะทู้"
"ภูเก็ต","ถลาง"
"มหาสารคาม","เชียงยืน"
"มหาสารคาม","เมืองมหาสารคาม"
"มหาสารคาม","แกดำ"
"มหาสารคาม","โกสุมพิสัย"
"มหาสารคาม","กันทรวิชัย"
"มหาสารคาม","กุดรัง"
"มหาสารคาม","ชื่นชม"
"มหาสารคาม","นาเชือก"
"มหาสารคาม","นาดูน"
"มหาสารคาม","บรบือ"
"มหาสารคาม","พยัคฆภูมิพิสัย"
"มหาสารคาม","ยางสีสุราช"
"มหาสารคาม","วาปีปทุม"
"มุกดาหาร","เมืองมุกดาหาร"
"มุกดาหาร","คำชะอี"
"มุกดาหาร","ดงหลวง"
"มุกดาหาร","ดอนตาล"
"มุกดาหาร","นิคมคำสร้อย"
"มุกดาหาร","หนองสูง"
"มุกดาหาร","หว้านใหญ่"
"ยโสธร","เมืองยโสธร"
"ยโสธร","เลิงนกทา"
"ยโสธร","ไทยเจริญ"
"ยโสธร","กุดชุม"
"ยโสธร","ค้อวัง"
"ยโสธร","คำเขื่อนแก้ว"
"ยโสธร","ทรายมูล"
"ยโสธร","ป่าติ้ว"
"ยโสธร","มหาชนะชัย"
"ยะลา","เบตง"
"ยะลา","เมืองยะลา"
"ยะลา","กรงปินัง"
"ยะลา","กาบัง"
"ยะลา","ธารโต"
"ยะลา","บันนังสตา"
"ยะลา","ยะหา"
"ยะลา","รามัน"
"ร้อยเอ็ด","เกษตรวิสัย"
"ร้อยเอ็ด","เชียงขวัญ"
"ร้อยเอ็ด","เมยวดี"
"ร้อยเอ็ด","เมืองร้อยเอ็ด"
"ร้อยเอ็ด","เมืองสรวง"
"ร้อยเอ็ด","เสลภูมิ"
"ร้อยเอ็ด","โพธิ์ชัย"
"ร้อยเอ็ด","โพนทราย"
"ร้อยเอ็ด","โพนทอง"
"ร้อยเอ็ด","จตุรพักตรพิมาน"
"ร้อยเอ็ด","จังหาร"
"ร้อยเอ็ด","ทุ่งเขาหลวง"
"ร้อยเอ็ด","ธวัชบุรี"
"ร้อยเอ็ด","ปทุมรัตต์"
"ร้อยเอ็ด","พนมไพร"
"ร้อยเอ็ด","ศรีสมเด็จ"
"ร้อยเอ็ด","สุวรรณภูมิ"
"ร้อยเอ็ด","หนองพอก"
"ร้อยเอ็ด","หนองฮี"
"ร้อยเอ็ด","อาจสามารถ"
"ระนอง","เมืองระนอง"
"ระนอง","กระบุรี"
"ระนอง","กะเปอร์"
"ระนอง","ละอุ่น"
"ระนอง","สุขสำราญ"
"ระยอง","เขาชะเมา"
"ระยอง","เมืองระยอง"
"ระยอง","แกลง"
"ระยอง","นิคมพัฒนา"
"ระยอง","บ้านค่าย"
"ระยอง","บ้านฉาง"
"ระยอง","ปลวกแดง"
"ระยอง","วังจันทร์"
"ราชบุรี","เมืองราชบุรี"
"ราชบุรี","โพธาราม"
"ราชบุรี","จอมบึง"
"ราชบุรี","ดำเนินสะดวก"
"ราชบุรี","บางแพ"
"ราชบุรี","บ้านโป่ง"
"ราชบุรี","บ้านคา"
"ราชบุรี","ปากท่อ"
"ราชบุรี","วัดเพลง"
"ราชบุรี","สวนผึ้ง"
"ลพบุรี","เมืองลพบุรี"
"ลพบุรี","โคกเจริญ"
"ลพบุรี","โคกสำโรง"
"ลพบุรี","ชัยบาดาล"
"ลพบุรี","ท่าวุ้ง"
"ลพบุรี","ท่าหลวง"
"ลพบุรี","บ้านหมี่"
"ลพบุรี","พัฒนานิคม"
"ลพบุรี","ลำสนธิ"
"ลพบุรี","สระโบสถ์"
"ลพบุรี","หนองม่วง"
"ลำปาง","เกาะคา"
"ลำปาง","เถิน"
"ลำปาง","เมืองปาน"
"ลำปาง","เมืองลำปาง"
"ลำปาง","เสริมงาม"
"ลำปาง","แจ้ห่ม"
"ลำปาง","แม่เมาะ"
"ลำปาง","แม่ทะ"
"ลำปาง","แม่พริก"
"ลำปาง","งาว"
"ลำปาง","วังเหนือ"
"ลำปาง","สบปราบ"
"ลำปาง","ห้างฉัตร"
"ลำพูน","เมืองลำพูน"
"ลำพูน","เวียงหนองล่อง"
"ลำพูน","แม่ทา"
"ลำพูน","ทุ่งหัวช้าง"
"ลำพูน","บ้านโฮ่ง"
"ลำพูน","บ้านธิ"
"ลำพูน","ป่าซาง"
"ลำพูน","ลี้"
"ศรีสะเกษ","เบญจลักษ์"
"ศรีสะเกษ","เมืองจันทร์"
"ศรีสะเกษ","เมืองศรีสะเกษ"
"ศรีสะเกษ","โนนคูณ"
"ศรีสะเกษ","โพธิ์ศรีสุวรรณ"
"ศรีสะเกษ","ไพรบึง"
"ศรีสะเกษ","กันทรลักษ์"
"ศรีสะเกษ","กันทรารมย์"
"ศรีสะเกษ","ขุขันธ์"
"ศรีสะเกษ","ขุนหาญ"
"ศรีสะเกษ","น้ำเกลี้ยง"
"ศรีสะเกษ","บึงบูรพ์"
"ศรีสะเกษ","ปรางค์กู่"
"ศรีสะเกษ","พยุห์"
"ศรีสะเกษ","ภูสิงห์"
"ศรีสะเกษ","ยางชุมน้อย"
"ศรีสะเกษ","ราษีไศล"
"ศรีสะเกษ","วังหิน"
"ศรีสะเกษ","ศรีรัตนะ"
"ศรีสะเกษ","ศิลาลาด"
"ศรีสะเกษ","ห้วยทับทัน"
"ศรีสะเกษ","อุทุมพรพิสัย"
"สกลนคร","เจริญศิลป์"
"สกลนคร","เต่างอย"
"สกลนคร","เมืองสกลนคร"
"สกลนคร","โคกศรีสุพรรณ"
